ID,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
7480,92,39.107726,-84.511487,10/26/2020 08:05:32 AM,9.3,NEE,10,0.2,85378.9,10/26/2020 08:05:36 AM,Motion Start,S-HAM31976,E CENTRAL PKWY,CLAY ST,MAIN ST,OVER-THE-RHINE
7481,439,39.170705,-84.486721,10/26/2020 08:07:37 AM,8.5,N,11,0.5,8106.4,10/26/2020 08:07:42 AM,Standard Event,S-HAM40489,KIELEY PL,E ROSS AV,TERM NW OF E ROSS AV,
7482,467,39.103005,-84.529116,10/26/2020 07:56:02 AM,0.0,N,9,0.3,55276.4,10/26/2020 07:56:05 AM,Motion Stop,,,,,
7483,144,39.111893,-84.579672,10/26/2020 08:04:44 AM,4.5,NNE,10,0.3,138091.4,10/26/2020 08:04:47 AM,Motion Start,S-HAM03302,REGINA AV,ST LAWRENCE AV,VINCENT AV,WEST PRICE HILL
7484,445,39.122172,-84.599674,10/26/2020 08:08:31 AM,8.6,NWW,10,0,17511.2,10/26/2020 08:08:34 AM,Motion Start,S-HAM01836,N OVERLOOK AV,UNNAMED R/W,GLENWAY AV,WEST PRICE HILL
7485,388,39.108364,-84.568472,10/26/2020 08:00:30 AM,0.0,S,9,0.1,29621.4,10/26/2020 08:00:31 AM,Motion Stop,S-HAM02527,FAIRBANKS AV,PRICE AV,WARSAW AV,EAST PRICE HILL
7486,144,39.11009,-84.581936,10/26/2020 08:01:14 AM,3.7,S,10,0,138091.1,10/26/2020 08:01:17 AM,Motion Start,S-HAM03308,GILSEY AV,ST LAWRENCE AV,WEBER LN,WEST PRICE HILL
7487,334,39.095837,-84.510831,10/26/2020 08:01:52 AM,17.7,NEE,11,0.1,23906.1,10/26/2020 08:03:42 AM,Standard Event,S-HAM56244,E MEHRING WY,TERM W OF,JOE NUXHALL WY,CBD/RIVERFRONT
7488,450,39.078676,-84.599018,10/26/2020 08:06:30 AM,6.4,W,10,0,18178.4,10/26/2020 08:06:32 AM,Motion Start,S-HAM09839,HILLSIDE AV,CLYDE ST,MCGINNIS AV,RIVERSIDE
7489,317,39.107928,-84.592275,10/26/2020 08:00:43 AM,0.0,NW,9,0.1,36026.6,10/26/2020 08:00:46 AM,Motion Stop,S-HAM03367,W 8TH ST,SCHIFF AV,HERMOSA AV,WEST PRICE HILL
7490,110,39.125968,-84.554341,10/26/2020 08:05:10 AM,27.8,W,11,0.2,92856.2,10/26/2020 08:07:11 AM,Standard Event,S-HAM01898,QUEEN CITY AV,RANKIN ST,KEBLER ST,SOUTH FAIRMOUNT
7491,482,39.096941,-84.655391,10/26/2020 07:55:59 AM,0.0,NWW,9,0,6404.5,10/26/2020 07:56:02 AM,Motion Stop,S-HAM22336,RIVER RD,WOCHER AV,HILLSIDE AV,RIVERSIDE
7492,210,39.115654,-84.586308,10/26/2020 08:03:07 AM,7.3,N,11,0.2,104665.9,10/26/2020 08:03:29 AM,Standard Event,S-HAM38986,MCKEONE AV,GLENWAY AV,TERM N OF GLENWAY AV,WEST PRICE HILL
7493,92,39.10771,-84.511564,10/26/2020 08:04:05 AM,0.0,E,9,0.2,85378.9,10/26/2020 08:04:08 AM,Motion Stop,S-HAM31976,E CENTRAL PKWY,CLAY ST,MAIN ST,OVER-THE-RHINE
7494,467,39.110604,-84.554881,10/26/2020 08:05:52 AM,27.5,NW,11,1.8,55278.2,10/26/2020 08:06:03 AM,Standard Event,S-HAM01748,GLENWAY AV,PEERLESS ST,WING ST,LOWER PRICE HILL
7495,317,39.107785,-84.591865,10/26/2020 07:59:12 AM,0.0,W,9,0,36026.6,10/26/2020 07:59:45 AM,Motion Stop,S-HAM03367,W 8TH ST,SCHIFF AV,HERMOSA AV,WEST PRICE HILL
7496,67,39.146825,-84.54855,10/26/2020 08:01:32 AM,5.0,NE,10,0,119100.3,10/26/2020 08:01:35 AM,Motion Start,,,,,
7497,159,39.114548,-84.568725,10/26/2020 07:58:54 AM,3.0,S,10,0.4,126175.6,10/26/2020 07:58:58 AM,Motion Start,S-HAM02011,DROTT AV,GLENWAY AV,TERM N OF GLENWAY AV,EAST PRICE HILL
7498,72,39.150659,-84.534012,10/26/2020 08:05:49 AM,23.0,SSE,11,0,106372.8,10/26/2020 08:07:15 AM,Standard Event,S-HAM62324,LUDLOW AV,LAFAYETTE AV,COLLEGE DR,CLIFTON
7499,450,39.081243,-84.593348,10/26/2020 07:57:25 AM,5.2,W,10,0.1,18178,10/26/2020 07:57:28 AM,Motion Start,I-GJ08162855,HILLSIDE AV & BAURICHTER ST,,,RIVERSIDE
7500,438,39.10861,-84.496818,10/26/2020 08:04:45 AM,0.0,N,9,0,21773.5,10/26/2020 08:04:47 AM,Motion Stop,S-HAM08645,BELVEDERE ST,PAVILION ST,HATCH ST,MOUNT ADAMS
7501,159,39.115129,-84.568637,10/26/2020 07:58:08 AM,0.0,N,9,0.3,126175.5,10/26/2020 07:58:11 AM,Motion Stop,S-HAM02011,DROTT AV,GLENWAY AV,TERM N OF GLENWAY AV,EAST PRICE HILL
7502,144,39.110903,-84.583267,10/26/2020 07:59:11 AM,0.0,NE,9,0.3,138091,10/26/2020 07:59:19 AM,Motion Stop,I-GJ08953186,ROSEMONT AV & WEBER LN,,,WEST PRICE HILL
7503,369,39.119787,-84.535303,10/26/2020 07:57:35 AM,0.0,E,9,0.6,81045.4,10/26/2020 07:57:37 AM,Motion Stop,S-HAM27448,BANK ST,BANK ST TO I-75 NB EXWY RAMP,DALTON AV,WEST END
7504,230,39.107863,-84.54854,10/26/2020 08:01:53 AM,0.0,SEE,9,0.8,90728.4,10/26/2020 08:02:13 AM,Motion Stop,,,,,
7505,230,39.111006,-84.536315,10/26/2020 07:59:03 AM,0.0,S,9,1.4,90727.4,10/26/2020 07:59:04 AM,Motion Stop,S-HAM08756,DALTON AV,KENNER ST,CORTLANDT AV,WEST END
7506,483,39.110252,-84.518009,10/26/2020 07:58:01 AM,0.0,NEE,9,0.3,5736.5,10/26/2020 07:58:32 AM,Motion Stop,S-HAM08975,W 14TH ST,PLEASANT ST,OSBORN AL,OVER-THE-RHINE
7507,371,39.104417,-84.541843,10/26/2020 08:06:25 AM,42.9,W,11,0,30723.7,10/26/2020 08:08:11 AM,Standard Event,B-GJ12243126,W 8TH ST,W 8TH STREET VIADUCT APPROACH,BURNS ST,LOWER PRICE HILL
7508,115,39.114901,-84.580164,10/26/2020 07:58:32 AM,0.0,N,9,0.2,56593.2,10/26/2020 07:58:35 AM,Motion Stop,S-HAM02103,ILIFF AV,PANTHER CT,W LIBERTY ST,WEST PRICE HILL
7509,457,39.108154,-84.552369,10/26/2020 07:56:43 AM,0.0,S,7,0.2,5296.1,10/26/2020 07:56:43 AM,Power Off,S-HAM08778,STATE AV,GEST ST,WILDER AV,LOWER PRICE HILL
7510,250,39.147026,-84.541421,10/26/2020 07:52:48 AM,41.0,S,11,0,103961.8,10/26/2020 07:56:09 AM,Standard Event,S-HAM21979,SPRING GROVE AV,ARLINGTON ST,BRASHEARS ST,CAMP WASHINGTON
7511,144,39.110902,-84.582387,10/26/2020 07:59:52 AM,6.0,E,11,0.4,138091.1,10/26/2020 08:00:08 AM,Standard Event,S-HAM01927,WEBER LN,GILSEY AV,ROSEMONT AV,WEST PRICE HILL
7512,315,39.155152,-84.540872,10/26/2020 08:05:39 AM,3.1,NE,10,1.2,49986.8,10/26/2020 08:05:40 AM,Motion Start,S-HAM29487,SPRING GROVE AV,SPRING GRVE AV TO I-74 EB EXWY RAMP,ELMORE ST,NORTHSIDE
7513,467,39.101204,-84.527119,10/26/2020 07:55:13 AM,42.8,SWW,11,0,55276.1,10/26/2020 07:56:05 AM,Standard Event,S-HAM27543,W 6TH WB ST TO LINN ST RAMP,W 6TH WB ST,LINN ST RAMP,QUEENSGATE
7514,320,39.155434,-84.544825,10/26/2020 08:07:10 AM,27.4,SEE,12,0.1,73980.6,10/26/2020 08:07:13 AM,Power On,B-3115690,"I-74 EB EXWY, I-74 WB EXWY BRIDGE OVER ELMORE ST",,,SOUTH CUMMINSVILLE
7515,224,39.099247,-84.519826,10/26/2020 07:56:37 AM,42.7,NNW,11,1.2,36590.2,10/26/2020 07:57:34 AM,Standard Event,S-HAM52738,FT WSHNGTN WB TO W 6TH WB ST RAMP,FT WSHNGTN WB,W 6TH WB ST RAMP,CBD/RIVERFRONT
7516,388,39.106229,-84.573858,10/26/2020 08:07:47 AM,29.6,W,11,0.3,29621.8,10/26/2020 08:08:51 AM,Standard Event,S-HAM01940,W 8TH ST,ENRIGHT AV,KIRBERT AV,EAST PRICE HILL
